species,phase_key,label_de,ring_order,segment_order,color_hex,start_tick,end_tick,wraps_year,tick_count,source_image_url,source_sha256,extraction_status
Papilio machaon,caterpillar,Raupe,4,2,#FFBC0F,112,150,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Schwalbenschwanz-1.png,a72b72404155d18eaec05b0418e1571f07db27936a3de33bf183131c16dbe488,reviewed
Papilio machaon,egg,Ei,5,1,#6EB089,67,98,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Schwalbenschwanz-1.png,a72b72404155d18eaec05b0418e1571f07db27936a3de33bf183131c16dbe488,reviewed
Papilio machaon,egg,Ei,5,2,#6EB089,105,135,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Schwalbenschwanz-1.png,a72b72404155d18eaec05b0418e1571f07db27936a3de33bf183131c16dbe488,reviewed
Papilio machaon,courtship,Balz & Paarung,6,1,#A6CAB7,60,75,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Schwalbenschwanz-1.png,a72b72404155d18eaec05b0418e1571f07db27936a3de33bf183131c16dbe488,reviewed
Papilio machaon,courtship,Balz & Paarung,6,2,#A6CAB7,98,113,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Schwalbenschwanz-1.png,a72b72404155d18eaec05b0418e1571f07db27936a3de33bf183131c16dbe488,reviewed
Anthidium oblongatum,overwintering_larva,Überwinterung (Ruhelarve),1,1,#7DBDC7,120,90,true,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Spaltenwollbiene-1.png,c1e79eb44a4fbec8266555e5eddc88bdcf74be2740d8a8fc75ce6c4ae3d90063,reviewed
Anthidium oblongatum,adult,Adult,2,1,#F5C76D,82,128,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Spaltenwollbiene-1.png,c1e79eb44a4fbec8266555e5eddc88bdcf74be2740d8a8fc75ce6c4ae3d90063,reviewed
Anthidium oblongatum,larva_pupa,Larve / Puppe,3,1,#6EB089,112,90,true,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Spaltenwollbiene-1.png,c1e79eb44a4fbec8266555e5eddc88bdcf74be2740d8a8fc75ce6c4ae3d90063,reviewed
Anthidium oblongatum,courtship,Balz & Paarung,4,1,#A6CAB7,83,97,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Spaltenwollbiene-1.png,c1e79eb44a4fbec8266555e5eddc88bdcf74be2740d8a8fc75ce6c4ae3d90063,reviewed
Lacerta agilis,overwintering,Überwinterung,1,1,#7DBDC7,135,45,true,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Zauneidechse-1.png,b196f9e2e51e6b56c2918899ce210ca0f39e6308ccb03690a3b4196637ca1588,reviewed
Lacerta agilis,adult,Adult,2,1,#F5C76D,0,180,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Zauneidechse-1.png,b196f9e2e51e6b56c2918899ce210ca0f39e6308ccb03690a3b4196637ca1588,reviewed
Lacerta agilis,breeding,Brut & Aufzucht,3,1,#6EB089,60,127,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Zauneidechse-1.png,b196f9e2e51e6b56c2918899ce210ca0f39e6308ccb03690a3b4196637ca1588,reviewed
Lacerta agilis,courtship,Balz & Paarung,4,1,#A6CAB7,53,83,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Zauneidechse-1.png,b196f9e2e51e6b56c2918899ce210ca0f39e6308ccb03690a3b4196637ca1588,reviewed
Vespertilio murinus,overwintering,Überwinterung,1,1,#7DBDC7,150,53,true,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Zweifarbfledermaus-1.png,022073cc9aa6888d5f49fa80f3c8bb67ab93387d527897c40a4c969a3488f91e,reviewed
Vespertilio murinus,adult,Adult,2,1,#F5C76D,0,180,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Zweifarbfledermaus-1.png,022073cc9aa6888d5f49fa80f3c8bb67ab93387d527897c40a4c969a3488f91e,reviewed
Vespertilio murinus,breeding,Brut & Aufzucht,3,1,#6EB089,67,113,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Zweifarbfledermaus-1.png,022073cc9aa6888d5f49fa80f3c8bb67ab93387d527897c40a4c969a3488f91e,reviewed
Vespertilio murinus,courtship,Balz & Paarung,4,1,#A6CAB7,120,180,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Zweifarbfledermaus-1.png,022073cc9aa6888d5f49fa80f3c8bb67ab93387d527897c40a4c969a3488f91e,reviewed
Pipistrellus pipistrellus,overwintering,Überwinterung,1,1,#7DBDC7,128,45,true,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Zwergfledermaus-1.png,00bac89d23efd8f01b644a30801925e632917edf8dbaf8b2e6577487e883648a,reviewed
Pipistrellus pipistrellus,adult,Adult,2,1,#F5C76D,0,180,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Zwergfledermaus-1.png,00bac89d23efd8f01b644a30801925e632917edf8dbaf8b2e6577487e883648a,reviewed
Pipistrellus pipistrellus,breeding,Brut & Aufzucht,3,1,#6EB089,45,120,false,180,https://animal-aided-design.de/wp-content/uploads/2024/11/Zwergfledermaus-1.png,00bac89d23efd8f01b644a30801925e632917edf8dbaf8b2e6577487e883648a,reviewed
